Title,Author,genres,Link;;;;;;;;;;;;;;
The Lost Continent: Travels in Small Town America,Bill Bryson,Nonfiction;Humor;Autobiography;Memoir;Audiobook;Literature;American;Biography;The United States Of America;Travelogue;Comedy;;;;,https://tse4.mm.bing.net/th/id/OIP.SvufOTO_qoynHu39-Qpr1AHaJQ?w=194&h=243&c=7&r=0&o=5&pid=1.7
Neither Here nor There: Travels in Europe,Bill Bryson,Nonfiction;Humor;Autobiography;Memoir;Biography;Audiobook;Travelogue;Adventure;Writing;Essays;Comedy;;;;,https://tse1.mm.bing.net/th/id/OIP.LrZOFRKWJ87KzhwgJBdMIgAAAA?w=194&h=296&c=7&r=0&o=5&pid=1.7
Notes from a Small Island,Bill Bryson,Nonfiction;Humor;Autobiography;Memoir;European Literature;British Literature;Biography;Audiobook;Comedy;History;Travelogue;;;;,https://tse3.mm.bing.net/th/id/OIP.ARMB8ZNKV3KDIyyyFZPEmwAAAA?w=181&h=282&c=7&r=0&o=5&pid=1.7
The Mother Tongue: English and How It Got That Way,Bill Bryson,Nonfiction;History;Humanities;Language;Linguistics;Humor;Audiobook;Writing;Travel;Reference;Science;;;;,https://tse3.mm.bing.net/th/id/OIP.tedKZ5dl_SAV8mecyB-fIQHaLJ?w=194&h=292&c=7&r=0&o=5&pid=1.7
J.R.R. Tolkien 4-Book Boxed Set: The Hobbit and The Lord of the Rings,J.R.R. Tolkien,Classics;Adventure;Science Fiction Fantasy;Epic Fantasy;High Fantasy;Young Adult;Literature;Magic;;;;;;;,https://tse4.mm.bing.net/th/id/OIP.Aq5egkaq9C9rTIuAEtUxRgHaHa?w=184&h=184&c=7&r=0&o=5&pid=1.7
The Lord of the Rings (The Lord of the Rings  #1-3),J.R.R. Tolkien,Classics;Adventure;Science Fiction Fantasy;Epic Fantasy;High Fantasy;Literature;Novels;Young Adult;;;;;;;,https://tse1.mm.bing.net/th/id/OIP.3QgVSHiqx8jGSf4-64zNCgHaK_?w=136&h=202&c=7&r=0&o=5&pid=1.7
The Fellowship of the Ring (The Lord of the Rings  #1),J.R.R. Tolkien,Classics;Adventure;High Fantasy;Science Fiction Fantasy;Epic Fantasy;Audiobook;Young Adult;Novels;;;;;;;,https://tse1.mm.bing.net/th/id/OIP.ZmMUYYHzK_gmFdc-gGt5rQHaEK?w=294&h=180&c=7&r=0&o=5&pid=1.7
The Lord of the Rings (The Lord of the Rings  #1-3),J.R.R. Tolkien/Alan  Lee,Classics;Adventure;Science Fiction Fantasy;Epic Fantasy;High Fantasy;Literature;Novels;Young Adult;;;;;;;,https://tse1.mm.bing.net/th/id/OIP.3QgVSHiqx8jGSf4-64zNCgHaK_?w=115&h=180&c=7&r=0&o=5&pid=1.7
The Lord of the Rings: Weapons and Warfare,Chris   Smith/Christopher  Lee/Richard Taylor,Art;Fiction;Reference;Media Tie In;Culture;Film;Classics;Adventure;High Fantasy;Adult;;;;;,https://tse3.mm.bing.net/th/id/OIP.bTs_alOguD44od0gpbC4NwAAAA?w=142&h=180&c=7&r=0&o=5&pid=1.7
The Lord of the Rings: Complete Visual Companion,Jude Fisher,Fantasy;Reference;Media Tie In;Culture;Film;;;;;;;;;;,https://tse4.mm.bing.net/th/id/OIP.oyGKeJA3X9pJl4iz036_4gHaJ4?w=194&h=259&c=7&r=0&o=5&pid=1.7
Agile Web Development with Rails: A Pragmatic Guide,Dave Thomas/David Heinemeier Hansson/Leon Breedt/Mike Clark/Thomas  Fuchs/Andreas  Schwarz,Computer Science;Programming;Nonfiction;Technology;Technical;Reference;Computers;Software;Internet;Web;Coding;;;;,https://tse1.mm.bing.net/th/id/OIP.-0s6rghv4kffOCRi4_-H7QHaJB?w=154&h=188&c=7&r=0&o=5&pid=1.7
Hatchet (Brian's Saga  #1),Gary Paulsen,Young Adult;Classics;Adventure;Survival;Childrens;Middle Grade;Academic;Realistic Fiction;Read For School;;;;;;,https://tse2.mm.bing.net/th/id/OIP.Ht0I5kEs3GMipOotWFtymwAAAA?w=180&h=282&c=7&r=0&o=5&pid=1.7
